topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/control/command/actuation_cmd,Critical,11912,0.256,0.964,1.531,0.328,0.485,0.046004,,0.0
/control/command/control_cmd,Critical,11920,0.25,0.922,1.522,0.32,0.473,0.042785,,0.0
/control/command/emergency_cmd,Critical,11882,0.254,0.93,1.521,0.321,0.471,0.043932,,0.0
/control/command/gear_cmd,Critical,5952,0.299,0.688,1.01,0.202,0.281,0.010417,,0.0
/control/trajectory_follower/control_cmd,Critical,11920,0.201,0.665,1.206,0.23,0.34,0.020805,,0.0
/system/emergency/control_cmd,Critical,11909,0.162,0.204,1.223,0.191,0.272,0.016794,,0.0
/system/emergency/gear_cmd,Critical,5953,0.152,0.235,1.216,0.187,0.264,0.013943,,0.0
/system/emergency_holding,Critical,5934,0.199,0.606,1.827,0.298,0.427,0.034715,,0.0
/system/fail_safe/mrm_state,Critical,5942,0.184,0.358,1.571,0.265,0.377,0.030629,,0.0
/control/command/hazard_lights_cmd,Soft Real-Time,5928,0.308,0.721,1.119,0.253,0.349,,0.002868,0.0
/control/command/turn_indicators_cmd,Soft Real-Time,5956,0.276,0.593,0.955,0.179,0.245,,0.001679,0.0
/localization/kinematic_state,Soft Real-Time,11890,0.21,0.539,2.153,0.338,0.478,,0.011943,0.0
/localization/pose_estimator/pose,Soft Real-Time,5940,0.133,0.2,0.94,0.15,0.212,,0.00202,0.0
/localization/pose_estimator/pose_with_covariance,Soft Real-Time,5940,0.135,0.214,0.808,0.139,0.196,,0.001684,0.0
/localization/pose_twist_fusion_filter/pose,Soft Real-Time,11868,0.196,0.302,1.905,0.281,0.401,,0.008847,0.0
/localization/pose_twist_fusion_filter/twist,Soft Real-Time,11914,0.214,0.364,1.994,0.307,0.437,,0.009904,0.0
/localization/pose_twist_fusion_filter/twist_with_covariance,Soft Real-Time,11918,0.2,0.334,1.893,0.278,0.395,,0.007719,0.0
/localization/pose_with_covariance,Soft Real-Time,11888,0.201,0.32,1.836,0.281,0.401,,0.008412,0.0
/localization/twist_estimator/twist_with_covariance,Soft Real-Time,11902,0.206,0.306,1.47,0.236,0.335,,0.004957,0.0
/sensing/gnss/pose_with_covariance,Soft Real-Time,1174,0.193,0.249,0.308,0.075,0.105,,0.000852,0.0
/sensing/imu/imu_data,Soft Real-Time,11924,0.186,0.25,0.337,0.099,0.139,,0.000923,0.0
/sensing/vehicle_velocity_converter/twist_with_covariance,Soft Real-Time,11886,0.229,0.342,1.589,0.255,0.363,,0.005889,0.0
/system/emergency/hazard_lights_cmd,Soft Real-Time,5953,0.21,0.453,1.868,0.306,0.437,,0.009071,0.0
/system/emergency/hazard_status,Soft Real-Time,5953,0.331,0.662,2.3,0.351,0.498,,0.015454,0.0
/system/mrm/emergency_stop/status,Soft Real-Time,11909,0.181,0.321,1.529,0.242,0.348,,0.004199,0.0
/vehicle/status/actuation_status,Soft Real-Time,11936,0.142,0.187,0.65,0.156,0.219,,0.002681,0.0
/vehicle/status/control_mode,Soft Real-Time,11936,0.134,0.172,1.139,0.174,0.244,,0.00243,0.0
/vehicle/status/gear_status,Soft Real-Time,11938,0.124,0.157,0.933,0.163,0.226,,0.001675,0.0
/vehicle/status/steering_status,Soft Real-Time,11935,0.149,0.205,1.194,0.209,0.294,,0.004776,0.0
/vehicle/status/velocity_status,Soft Real-Time,11938,0.138,0.189,0.455,0.151,0.211,,0.002513,0.0
/perception/object_recognition/detection/centerpoint/objects,Perception,5957,2.917,5.346,6.361,2.024,1.008,,,0.0
/perception/object_recognition/detection/detection_by_tracker/objects,Perception,5933,3.148,5.859,6.762,2.199,1.196,,,0.0
/perception/object_recognition/detection/objects,Perception,5967,2.411,4.864,5.959,1.788,1.164,,,0.0
/perception/object_recognition/objects,Perception,5945,0.185,0.248,1.211,0.25,0.32,,,0.0
/perception/object_recognition/prediction/maneuver,Perception,5947,0.168,0.213,0.865,0.226,0.271,,,0.0
/perception/object_recognition/tracking/objects,Perception,5968,0.185,0.225,0.484,0.209,0.259,,,0.0
/perception/occupancy_grid_map/map,Perception,5937,4.882,7.46,8.027,2.644,1.036,,,0.0
/sensing/camera/main/image_raw,Perception,5963,12.025,13.94,14.902,0.887,1.131,,,0.0
/sensing/lidar/concatenated/pointcloud,Perception,5947,2.176,12.053,12.341,2.846,3.153,,,0.0
/sensing/lidar/top/pointcloud,Perception,5937,3.506,13.136,14.303,3.755,3.967,,,0.000337
/control/autonomous_emergency_braking/debug/markers,Best-Effort,6565,1.822,4.129,5.354,1.25,1.734,,,0.0
/control/autonomous_emergency_braking/debug/processing_time_detail_ms,Best-Effort,6565,1.454,3.816,5.073,1.237,1.708,,,0.0
/control/autonomous_emergency_braking/metrics,Best-Effort,6565,1.636,4.093,5.433,1.311,1.832,,,0.0
/control/autonomous_emergency_braking/virtual_wall,Best-Effort,6565,1.821,4.294,5.542,1.331,1.839,,,0.0
/control/autoware_operation_mode_transition_manager/debug_info,Best-Effort,5956,1.599,3.998,5.348,1.28,1.784,,,0.0
