topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/control/command/actuation_cmd,Critical,11909,0.249,0.931,1.601,0.315,0.462,0.042825,,0.0
/control/command/control_cmd,Critical,11917,0.251,0.889,1.582,0.308,0.449,0.039691,,0.0
/control/command/emergency_cmd,Critical,11879,0.248,0.861,1.639,0.309,0.446,0.038303,,0.0
/control/command/gear_cmd,Critical,5951,0.244,0.62,1.04,0.207,0.286,0.010923,,0.0
/control/trajectory_follower/control_cmd,Critical,11917,0.187,0.594,1.156,0.201,0.292,0.016195,,0.0
/system/emergency/control_cmd,Critical,11905,0.199,0.262,1.272,0.209,0.296,0.01806,,0.0
/system/emergency/gear_cmd,Critical,5951,0.152,0.234,1.328,0.216,0.304,0.01798,,0.0
/system/emergency_holding,Critical,5934,0.183,0.674,1.815,0.303,0.429,0.036737,,0.0
/system/fail_safe/mrm_state,Critical,5942,0.179,0.474,1.697,0.286,0.405,0.032144,,0.0
/control/command/hazard_lights_cmd,Soft Real-Time,5927,0.248,0.65,1.158,0.218,0.306,,0.001518,0.0
/control/command/turn_indicators_cmd,Soft Real-Time,5955,0.225,0.516,0.901,0.169,0.234,,0.001008,0.0
/localization/kinematic_state,Soft Real-Time,11891,0.253,0.91,2.294,0.378,0.537,,0.015558,0.0
/localization/pose_estimator/pose,Soft Real-Time,5940,0.137,0.209,1.137,0.169,0.239,,0.002189,0.0
/localization/pose_estimator/pose_with_covariance,Soft Real-Time,5940,0.138,0.214,1.043,0.16,0.225,,0.001347,0.0
/localization/pose_twist_fusion_filter/pose,Soft Real-Time,11869,0.227,0.43,2.019,0.304,0.431,,0.010363,0.0
/localization/pose_twist_fusion_filter/twist,Soft Real-Time,11915,0.258,0.605,2.228,0.364,0.521,,0.014436,0.0
/localization/pose_twist_fusion_filter/twist_with_covariance,Soft Real-Time,11919,0.242,0.516,2.074,0.334,0.477,,0.011494,0.0
/localization/pose_with_covariance,Soft Real-Time,11889,0.234,0.487,2.061,0.312,0.444,,0.010934,0.0
/localization/twist_estimator/twist_with_covariance,Soft Real-Time,11903,0.217,0.431,1.81,0.286,0.407,,0.007645,0.0
/sensing/gnss/pose_with_covariance,Soft Real-Time,1174,0.215,0.279,0.326,0.063,0.079,,0.0,0.0
/sensing/imu/imu_data,Soft Real-Time,11925,0.208,0.276,0.403,0.121,0.172,,0.001342,0.0
/sensing/vehicle_velocity_converter/twist_with_covariance,Soft Real-Time,11887,0.24,0.471,1.807,0.287,0.411,,0.008076,0.0
/system/emergency/hazard_lights_cmd,Soft Real-Time,5951,0.204,0.52,1.989,0.333,0.471,,0.009914,0.0
/system/emergency/hazard_status,Soft Real-Time,5951,0.331,0.865,2.329,0.374,0.532,,0.016636,0.0
/system/mrm/emergency_stop/status,Soft Real-Time,11905,0.214,0.329,1.587,0.252,0.356,,0.005544,0.0
/vehicle/status/actuation_status,Soft Real-Time,11933,0.183,0.252,1.14,0.181,0.257,,0.002682,0.0
/vehicle/status/control_mode,Soft Real-Time,11932,0.161,0.227,1.15,0.191,0.268,,0.002933,0.0
/vehicle/status/gear_status,Soft Real-Time,11934,0.147,0.213,1.116,0.187,0.262,,0.002514,0.0
/vehicle/status/steering_status,Soft Real-Time,11932,0.177,0.245,1.26,0.226,0.318,,0.004861,0.0
/vehicle/status/velocity_status,Soft Real-Time,11933,0.172,0.247,1.073,0.165,0.233,,0.001676,0.0
/perception/object_recognition/detection/centerpoint/objects,Perception,5958,3.002,5.587,6.574,2.094,1.044,,,0.0
/perception/object_recognition/detection/detection_by_tracker/objects,Perception,5934,3.23,6.038,6.987,2.267,1.237,,,0.0
/perception/object_recognition/detection/objects,Perception,5968,2.491,5.068,6.133,1.854,1.203,,,0.0
/perception/object_recognition/objects,Perception,5946,0.217,0.276,1.343,0.274,0.346,,,0.0
/perception/object_recognition/prediction/maneuver,Perception,5948,0.204,0.259,1.204,0.266,0.319,,,0.0
/perception/object_recognition/tracking/objects,Perception,5968,0.229,0.28,0.59,0.218,0.258,,,0.0
/perception/occupancy_grid_map/map,Perception,5938,4.951,7.603,8.38,2.701,1.077,,,0.0
/sensing/camera/main/image_raw,Perception,5962,11.845,12.766,13.561,0.585,0.703,,,0.000168
/sensing/lidar/concatenated/pointcloud,Perception,5946,2.159,12.153,12.724,2.886,3.178,,,0.0
/sensing/lidar/top/pointcloud,Perception,5936,3.4,12.919,13.452,3.674,3.823,,,0.000337
/control/autonomous_emergency_braking/debug/markers,Best-Effort,6565,2.824,9.347,11.932,2.611,2.192,,,0.0
/control/autonomous_emergency_braking/debug/processing_time_detail_ms,Best-Effort,6566,2.335,8.43,11.568,2.549,2.498,,,0.0
/control/autonomous_emergency_braking/metrics,Best-Effort,6566,2.54,8.777,11.789,2.608,2.437,,,0.0
/control/autonomous_emergency_braking/virtual_wall,Best-Effort,6566,2.766,9.181,11.872,2.607,2.399,,,0.0
/control/autoware_operation_mode_transition_manager/debug_info,Best-Effort,5955,2.511,8.711,11.817,2.597,2.634,,,0.0
/control/command/control_cmd/debug/published_time,Best-Effort,11899,3.795,10.431,11.659,3.484,5.562,,,0.0
/control/control_evaluator/debug/processing_time_ms,Best-Effort,5953,2.415,8.622,11.973,2.62,2.678,,,0.0
