topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/control/trajectory_follower/controller_node_exe/debug/resampled_reference_trajectory,Best-Effort,3079,1297.974,1590.054,1672.675,210.594,255.102,,,0.734843
/control/trajectory_follower/controller_node_exe/lateral/debug/processing_time_ms,Best-Effort,2972,1299.969,1586.254,1670.227,205.266,248.553,,,0.743439
/control/trajectory_follower/controller_node_exe/longitudinal/debug/processing_time_ms,Best-Effort,2968,1300.343,1586.628,1669.886,205.305,249.467,,,0.74438
/control/trajectory_follower/controller_node_exe/output/debug_marker,Best-Effort,2969,1301.129,1586.63,1669.851,205.294,248.707,,,0.744206
/control/trajectory_follower/controller_node_exe/output/estimated_steer_offset,Best-Effort,2984,1299.392,1586.543,1670.488,205.513,249.244,,,0.742936
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/lateral,Best-Effort,1571,1258.758,1538.246,1621.414,204.578,298.17,,,0.729044
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw,Best-Effort,1567,1257.039,1537.592,1621.201,204.113,297.476,,,0.729781
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw_deg,Best-Effort,1603,1260.758,1539.684,1622.494,211.608,300.945,,,0.723621
/control/trajectory_follower/lane_departure_checker_node/debug/marker_array,Best-Effort,1568,1259.479,1538.243,1621.172,203.524,295.396,,,0.729655
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms,Best-Effort,1604,1262.567,1539.734,1623.508,211.275,299.444,,,0.723877
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms_diag,Best-Effort,1623,1262.461,1540.042,1621.175,212.053,301.515,,,0.720558
/control/trajectory_follower/lateral/diagnostic,Best-Effort,2985,1298.873,1586.476,1670.481,205.794,249.726,,,0.742872
/control/trajectory_follower/lateral/predicted_trajectory,Best-Effort,2977,1299.11,1586.094,1670.334,205.401,249.245,,,0.743495
/control/trajectory_follower/longitudinal/diagnostic,Best-Effort,2969,1299.551,1586.476,1670.067,205.345,249.782,,,0.744228
/control/vehicle_cmd_gate/debug/processing_time_ms,Best-Effort,1538,1258.442,1535.958,1620.088,200.444,291.917,,,0.734507
/control/vehicle_cmd_gate/is_filter_activated/marker_raw,Best-Effort,2962,1300.939,1586.075,1669.636,205.123,248.045,,,0.744435
/localization/debug/ellipse_marker,Best-Effort,11634,322.043,399.012,403.092,44.56,59.516,,,0.0
/localization/pose_estimator/exe_time_ms,Best-Effort,5808,345.888,400.105,402.93,37.789,54.424,,,0.0
/localization/pose_twist_fusion_filter/debug/processing_time_ms,Best-Effort,11621,322.277,399.07,403.089,44.563,59.783,,,0.0
/localization/pose_twist_fusion_filter/debug/stop_flag,Best-Effort,11616,316.106,397.253,402.847,44.935,58.126,,,0.0
/localization/pose_twist_fusion_filter/pose_instability_detector/debug/diff_pose,Best-Effort,1159,303.318,358.434,366.331,40.367,56.199,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/cyclic_time_ms,Best-Effort,5813,284.551,366.347,397.014,49.215,58.327,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/pipeline_latency_ms,Best-Effort,5811,286.471,367.04,398.134,49.737,58.822,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/processing_time_ms,Best-Effort,5812,285.33,366.751,397.578,49.486,58.735,,,0.0
/localization/util/downsample/pointcloud/debug/published_time,Best-Effort,5807,339.92,400.983,403.891,42.908,62.187,,,0.0
/localization/util/measurement_range/pointcloud/debug/published_time,Best-Effort,5806,293.182,371.167,400.538,49.798,59.071,,,0.0
/localization/util/voxel_grid_downsample/pointcloud/debug/published_time,Best-Effort,5807,323.279,400.033,403.508,50.313,70.165,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/cyclic_time_ms,Best-Effort,5807,341.167,395.394,397.949,37.871,54.636,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/pipeline_latency_ms,Best-Effort,5814,340.942,395.262,397.832,37.974,54.631,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/processing_time_ms,Best-Effort,5804,341.218,395.437,397.971,37.879,54.648,,,0.0
/perception/object_recognition/detection/centerpoint/objects/debug/published_time,Best-Effort,5809,341.147,395.379,397.94,37.877,54.611,,,0.0
/perception/object_recognition/detection/centerpoint/validation/objects/debug/published_time,Best-Effort,5813,340.988,395.293,397.882,37.951,54.604,,,0.0
