topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/control/trajectory_follower/controller_node_exe/lateral/debug/processing_time_ms,Best-Effort,11866,1.478,4.597,6.191,1.595,2.501,,,0.0
/control/trajectory_follower/controller_node_exe/longitudinal/debug/processing_time_ms,Best-Effort,11920,1.504,4.488,6.0,1.578,2.441,,,0.0
/control/trajectory_follower/controller_node_exe/output/debug_marker,Best-Effort,11912,1.495,4.441,5.879,1.566,2.421,,,0.0
/control/trajectory_follower/controller_node_exe/output/estimated_steer_offset,Best-Effort,11914,1.362,4.449,6.147,1.551,2.433,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/lateral,Best-Effort,5955,1.762,4.341,6.562,1.418,1.848,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw,Best-Effort,5957,1.636,4.129,6.388,1.387,1.785,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw_deg,Best-Effort,5959,1.397,3.798,6.195,1.343,1.712,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/marker_array,Best-Effort,5959,1.678,4.153,6.533,1.398,1.807,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms,Best-Effort,5970,1.417,4.03,6.049,1.402,1.851,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms_diag,Best-Effort,5969,1.315,3.829,6.229,1.364,1.759,,,0.0
/control/trajectory_follower/lateral/diagnostic,Best-Effort,11916,1.278,4.306,6.129,1.529,2.399,,,0.0
/control/trajectory_follower/lateral/predicted_trajectory,Best-Effort,11910,1.424,4.51,6.293,1.567,2.455,,,0.0
/control/trajectory_follower/longitudinal/diagnostic,Best-Effort,11914,1.475,4.554,6.113,1.579,2.479,,,0.0
/control/vehicle_cmd_gate/debug/processing_time_ms,Best-Effort,5945,1.997,4.732,6.711,1.538,2.033,,,0.0
/control/vehicle_cmd_gate/is_filter_activated/marker_raw,Best-Effort,11866,1.563,4.467,5.846,1.565,2.406,,,0.0
/localization/debug/ellipse_marker,Best-Effort,11913,4.694,13.611,14.706,5.751,9.933,,,0.0
/localization/pose_estimator/exe_time_ms,Best-Effort,5942,7.809,12.852,13.838,5.082,2.026,,,0.0
/localization/pose_twist_fusion_filter/debug/processing_time_ms,Best-Effort,11887,4.724,13.652,14.727,5.748,9.944,,,0.0
/localization/pose_twist_fusion_filter/debug/stop_flag,Best-Effort,11877,4.518,13.718,14.84,5.695,9.702,,,0.0
/localization/pose_twist_fusion_filter/pose_instability_detector/debug/diff_pose,Best-Effort,1187,0.97,2.84,5.569,2.464,3.507,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/cyclic_time_ms,Best-Effort,5952,2.812,13.855,15.047,5.035,4.443,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/pipeline_latency_ms,Best-Effort,5948,3.451,14.132,15.276,5.365,5.218,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/processing_time_ms,Best-Effort,5950,3.06,13.969,15.117,5.16,4.723,,,0.0
/localization/util/downsample/pointcloud/debug/published_time,Best-Effort,5940,8.741,13.998,14.987,5.45,3.494,,,0.0
/localization/util/measurement_range/pointcloud/debug/published_time,Best-Effort,5938,6.833,14.297,15.522,6.131,6.841,,,0.0
/localization/util/voxel_grid_downsample/pointcloud/debug/published_time,Best-Effort,5940,8.538,14.168,15.25,5.649,4.633,,,0.0
