topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_50ms,loss_rate
/control/command/actuation_cmd,Critical,11913,14.065,25.629,27.985,8.207,13.661,0.984974,,0.0
/control/command/control_cmd,Critical,11921,13.252,24.638,26.821,8.137,13.618,0.980203,,0.0
/control/command/emergency_cmd,Critical,11883,13.338,24.755,27.055,8.231,13.716,0.97812,,0.0
/control/command/gear_cmd,Critical,5953,3.016,7.468,10.773,3.977,3.798,0.648413,,0.0
/control/trajectory_follower/control_cmd,Critical,11921,12.661,24.492,26.72,8.43,14.247,0.96007,,0.0
/system/emergency/control_cmd,Critical,11911,0.387,1.369,2.434,0.459,0.703,0.082781,,0.0
/system/emergency/gear_cmd,Critical,5954,0.476,1.969,2.527,0.538,0.744,0.113705,,0.0
/system/emergency_holding,Critical,5934,0.901,2.468,2.807,0.723,0.977,0.31547,,0.0
/system/fail_safe/mrm_state,Critical,5942,0.66,2.237,2.616,0.613,0.85,0.199428,,0.0
/control/command/hazard_lights_cmd,Soft Real-Time,5929,3.717,9.919,14.02,4.572,4.769,,0.001012,0.0
/control/command/turn_indicators_cmd,Soft Real-Time,5957,2.678,6.93,9.958,3.906,3.485,,0.001007,0.0
/localization/kinematic_state,Soft Real-Time,11890,3.112,32.345,33.406,7.493,10.681,,0.0,0.0
/localization/pose_estimator/pose,Soft Real-Time,5940,6.113,36.529,37.967,12.133,18.541,,0.0,0.0
/localization/pose_estimator/pose_with_covariance,Soft Real-Time,5940,6.306,36.671,38.031,12.264,18.762,,0.0,0.0
/localization/pose_twist_fusion_filter/pose,Soft Real-Time,11869,1.698,3.201,32.691,4.371,6.101,,0.0,0.0
/localization/pose_twist_fusion_filter/twist,Soft Real-Time,11914,2.459,4.292,33.125,6.158,8.637,,0.0,0.0
/localization/pose_twist_fusion_filter/twist_with_covariance,Soft Real-Time,11918,2.459,4.308,33.091,6.23,8.744,,0.0,0.0
/localization/pose_with_covariance,Soft Real-Time,11888,1.977,3.353,32.947,5.235,7.312,,0.0,0.0
/localization/twist_estimator/twist_with_covariance,Soft Real-Time,11902,5.086,32.655,38.392,10.756,16.236,,0.0,0.0
/sensing/gnss/pose_with_covariance,Soft Real-Time,1174,0.879,2.027,5.31,0.848,1.123,,0.0,0.0
/sensing/imu/imu_data,Soft Real-Time,11925,0.946,2.209,4.305,1.737,2.305,,0.0,0.0
/sensing/vehicle_velocity_converter/twist_with_covariance,Soft Real-Time,11886,4.905,32.707,38.189,10.672,16.117,,0.0,0.0
/system/emergency/hazard_lights_cmd,Soft Real-Time,5954,0.733,2.254,2.872,0.656,0.915,,0.0,0.0
/system/emergency/hazard_status,Soft Real-Time,5954,1.748,2.45,3.413,0.677,0.912,,0.0,0.0
/system/mrm/emergency_stop/status,Soft Real-Time,11910,0.523,1.981,2.665,0.567,0.892,,0.0,0.0
/vehicle/status/actuation_status,Soft Real-Time,11938,0.231,0.607,1.31,0.418,0.6,,0.0,0.0
/vehicle/status/control_mode,Soft Real-Time,11937,0.332,0.87,2.127,0.328,0.474,,0.0,0.0
/vehicle/status/gear_status,Soft Real-Time,11939,0.341,0.811,1.939,0.31,0.443,,0.0,0.0
/vehicle/status/steering_status,Soft Real-Time,11937,0.344,0.839,2.082,0.458,0.658,,0.0,0.0
/vehicle/status/velocity_status,Soft Real-Time,11938,0.298,0.724,1.336,0.272,0.388,,0.0,0.0
/perception/object_recognition/detection/centerpoint/objects,Perception,5957,12.527,35.768,36.886,9.685,14.68,,,0.000168
/perception/object_recognition/detection/detection_by_tracker/objects,Perception,5932,13.038,36.221,37.229,9.62,14.647,,,0.000337
/perception/object_recognition/detection/objects,Perception,5967,11.976,35.075,36.311,9.602,14.583,,,0.000168
/perception/object_recognition/objects,Perception,5946,1.21,2.815,4.223,1.06,1.36,,,0.0
/perception/object_recognition/prediction/maneuver,Perception,5948,1.195,2.722,4.097,1.199,1.38,,,0.0
/perception/object_recognition/tracking/objects,Perception,5968,1.064,2.386,3.721,1.006,1.267,,,0.0
/perception/occupancy_grid_map/map,Perception,5938,15.069,38.183,39.054,9.624,14.679,,,0.0
/sensing/camera/main/image_raw,Perception,2248,505.652,542.53,614.609,42.142,41.773,,,0.622058
/sensing/lidar/concatenated/pointcloud,Perception,3016,396.983,510.087,546.377,71.471,77.045,,,0.491657
/sensing/lidar/top/pointcloud,Perception,2936,417.617,525.418,553.905,73.588,78.712,,,0.50464
/control/autonomous_emergency_braking/debug/markers,Best-Effort,6566,8.951,14.174,16.772,6.44,4.769,,,0.0
/control/autonomous_emergency_braking/debug/processing_time_detail_ms,Best-Effort,6566,6.454,13.416,15.935,7.05,6.325,,,0.0
/control/autonomous_emergency_braking/metrics,Best-Effort,6567,7.83,14.06,16.396,6.905,6.096,,,0.0
/control/autonomous_emergency_braking/virtual_wall,Best-Effort,6566,8.521,14.294,16.68,6.051,5.72,,,0.0
/control/autoware_operation_mode_transition_manager/debug_info,Best-Effort,5957,6.659,13.036,15.365,7.288,6.042,,,0.0
/control/command/control_cmd/debug/published_time,Best-Effort,11903,15.616,26.072,28.511,9.444,11.983,,,0.0
/control/control_evaluator/debug/processing_time_ms,Best-Effort,5955,6.003,12.861,15.272,6.469,6.394,,,0.0
/control/control_evaluator/metrics,Best-Effort,5959,5.073,12.24,14.552,7.046,6.053,,,0.0
/control/control_validator/debug/marker,Best-Effort,11941,15.278,25.952,28.34,9.389,12.116,,,0.0
/control/control_validator/debug/processing_time_ms,Best-Effort,11942,15.26,25.936,28.278,8.607,12.053,,,0.0
/control/control_validator/validation_status,Best-Effort,11942,15.131,25.797,28.138,9.397,12.161,,,0.0
/control/control_validator/virtual_wall,Best-Effort,11942,15.099,25.781,28.108,9.402,12.197,,,0.0
/control/trajectory_follower/control_cmd/debug/published_time,Best-Effort,11881,15.633,26.107,28.595,9.483,11.966,,,0.0
/control/trajectory_follower/controller_node_exe/debug/predicted_trajectory_in_frenet_coordinate,Best-Effort,11909,14.339,25.47,27.667,9.09,12.708,,,0.0
/control/trajectory_follower/controller_node_exe/debug/resampled_reference_trajectory,Best-Effort,11921,12.957,25.706,27.809,10.832,15.233,,,0.0
/control/trajectory_follower/controller_node_exe/lateral/debug/processing_time_ms,Best-Effort,11865,15.281,25.891,28.149,8.827,12.072,,,0.0
/control/trajectory_follower/controller_node_exe/longitudinal/debug/processing_time_ms,Best-Effort,11919,15.375,25.969,28.345,8.67,11.984,,,0.0
/control/trajectory_follower/controller_node_exe/output/debug_marker,Best-Effort,11911,15.546,26.054,28.57,9.416,11.938,,,0.0
/control/trajectory_follower/controller_node_exe/output/estimated_steer_offset,Best-Effort,11913,14.927,25.572,27.922,9.514,12.064,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/lateral,Best-Effort,5955,6.629,13.141,15.346,7.274,5.909,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw,Best-Effort,5957,6.415,12.851,15.213,7.2,5.759,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw_deg,Best-Effort,5959,5.713,12.562,15.067,7.205,5.772,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/marker_array,Best-Effort,5959,6.801,13.03,15.316,7.121,5.68,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms,Best-Effort,5970,5.673,12.934,15.192,6.302,6.372,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms_diag,Best-Effort,5969,5.265,12.557,15.167,6.972,6.04,,,0.0
/control/trajectory_follower/lateral/diagnostic,Best-Effort,11915,14.782,25.479,27.802,9.539,12.13,,,0.0
/control/trajectory_follower/lateral/predicted_trajectory,Best-Effort,11909,15.044,25.85,28.069,8.842,12.245,,,0.0
/control/trajectory_follower/longitudinal/diagnostic,Best-Effort,11913,15.31,25.891,28.203,9.456,11.97,,,0.0
/control/vehicle_cmd_gate/debug/processing_time_ms,Best-Effort,5945,7.92,13.761,15.984,6.473,6.137,,,0.0
/control/vehicle_cmd_gate/is_filter_activated/marker_raw,Best-Effort,11865,15.7,26.143,28.616,9.527,12.002,,,0.0
/localization/debug/ellipse_marker,Best-Effort,11906,180.085,211.116,238.306,26.208,18.486,,,0.000336
/localization/pose_estimator/exe_time_ms,Best-Effort,5941,182.199,218.778,239.77,24.698,22.975,,,0.0
/localization/pose_twist_fusion_filter/debug/processing_time_ms,Best-Effort,11884,180.156,211.271,237.292,23.531,17.551,,,0.0
/localization/pose_twist_fusion_filter/debug/stop_flag,Best-Effort,11874,179.343,209.255,235.346,23.049,16.557,,,0.0
/localization/pose_twist_fusion_filter/pose_instability_detector/debug/diff_pose,Best-Effort,1186,180.485,205.849,214.652,24.968,30.693,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/cyclic_time_ms,Best-Effort,5949,176.968,205.534,230.185,24.927,16.119,,,0.000336
/localization/util/crop_box_filter_measurement_range/debug/pipeline_latency_ms,Best-Effort,5947,177.322,205.851,230.729,24.842,16.153,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/processing_time_ms,Best-Effort,5948,177.134,205.732,230.215,24.878,16.152,,,0.000168
/localization/util/downsample/pointcloud/debug/published_time,Best-Effort,5939,181.702,217.321,239.949,24.544,22.293,,,0.0
/localization/util/measurement_range/pointcloud/debug/published_time,Best-Effort,5937,177.753,206.229,231.076,22.44,14.396,,,0.0
/localization/util/voxel_grid_downsample/pointcloud/debug/published_time,Best-Effort,5939,180.236,212.746,237.686,23.983,19.854,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/cyclic_time_ms,Best-Effort,5939,184.781,216.815,237.394,23.39,20.394,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/pipeline_latency_ms,Best-Effort,5952,184.584,216.728,238.765,26.865,22.066,,,0.000168
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/processing_time_ms,Best-Effort,5933,184.931,216.814,236.987,23.216,20.25,,,0.0
/perception/object_recognition/detection/centerpoint/objects/debug/published_time,Best-Effort,5943,184.396,216.63,237.511,24.029,20.988,,,0.0
/perception/object_recognition/detection/centerpoint/validation/objects/debug/published_time,Best-Effort,5949,184.291,216.642,237.95,25.692,21.763,,,0.000336
/perception/object_recognition/detection/clustering/debug/clusters,Best-Effort,5945,183.529,216.259,237.265,24.658,21.355,,,0.0
/perception/object_recognition/detection/clustering/objects/debug/published_time,Best-Effort,5948,184.795,216.974,238.735,25.604,21.726,,,0.000168
/perception/object_recognition/detection/clustering/objects_with_feature/debug/published_time,Best-Effort,5951,183.945,216.375,237.408,25.77,21.721,,,0.000336
/perception/object_recognition/detection/clustering/shape_estimation/debug/cyclic_time_ms,Best-Effort,5943,184.43,216.554,237.337,24.039,21.001,,,0.0
