topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/control/trajectory_follower/controller_node_exe/lateral/debug/processing_time_ms,Best-Effort,2876,1359.544,1663.94,1698.927,228.139,251.411,,,0.753472
/control/trajectory_follower/controller_node_exe/longitudinal/debug/processing_time_ms,Best-Effort,2882,1362.138,1664.466,1699.349,234.633,250.112,,,0.753528
/control/trajectory_follower/controller_node_exe/output/debug_marker,Best-Effort,2874,1360.88,1663.915,1696.705,228.596,250.88,,,0.754128
/control/trajectory_follower/controller_node_exe/output/estimated_steer_offset,Best-Effort,2893,1359.383,1663.93,1698.978,228.76,252.134,,,0.752524
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/lateral,Best-Effort,1522,1321.644,1618.941,1660.089,228.999,303.679,,,0.739339
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw,Best-Effort,1522,1321.396,1617.741,1660.156,234.774,301.946,,,0.739384
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw_deg,Best-Effort,1554,1323.992,1619.515,1660.056,241.194,306.4,,,0.73395
/control/trajectory_follower/lane_departure_checker_node/debug/marker_array,Best-Effort,1525,1324.771,1616.887,1659.971,239.375,299.935,,,0.738915
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms,Best-Effort,1556,1338.42,1620.59,2441.152,297.026,304.612,,,0.734017
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms_diag,Best-Effort,1571,1336.15,1620.798,1740.778,290.779,305.226,,,0.731407
/control/trajectory_follower/lateral/diagnostic,Best-Effort,2895,1359.241,1664.088,1699.033,228.836,252.253,,,0.752374
/control/trajectory_follower/lateral/predicted_trajectory,Best-Effort,2876,1359.119,1663.133,1699.062,228.487,251.693,,,0.753936
/control/trajectory_follower/longitudinal/diagnostic,Best-Effort,2879,1359.984,1663.602,1698.389,228.615,251.285,,,0.753721
/control/vehicle_cmd_gate/debug/processing_time_ms,Best-Effort,1503,1326.151,1616.412,1659.486,226.76,299.94,,,0.742372
